id,listing_name,host_id,host_name,neighborhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,rating,cleaning_fee,service_fee,instant_bookable,last_review
1,Stevens Falls Stay,2679,Amy,Brooklyn,40.77068,-73.743128,Entire home/apt,Villa,260,2,302,5.06,15,3.2,39,37,True,2025-07-30
2,Burton Forest Stay,3615,Alisha,Bronx,40.779256,-73.9639,Hotel room,House,274,3,110,11.49,172,3.2,58,11,False,2025-11-18
3,Fernandez Garden Stay,7201,Daniel,Upper East Side,40.53152,-73.982729,Shared room,Apartment,88,11,316,10.63,185,4.2,18,7,True,2025-12-16
4,Theresa Manors Stay,6977,Kevin,Brooklyn,40.565062,-73.957892,Private room,Apartment,111,11,136,8.42,349,4.3,31,39,True,2026-02-19
5,Hannah Forks Stay,1916,William,Chelsea,40.591619,-74.08716,Hotel room,Loft,295,6,205,3.21,108,4.8,50,18,False,2025-10-23
6,Wilcox Manor Stay,8019,Andrew,Chelsea,40.859129,-73.94024,Private room,Loft,103,4,70,6.11,46,4.5,24,14,True,2025-05-30
7,Williams Greens Stay,1188,Lisa,Harlem,40.772113,-74.054179,Entire home/apt,Condo,315,9,384,3.2,328,3.7,47,32,True,2025-09-23
8,Taylor Brooks Stay,5889,Melissa,Manhattan,40.836668,-73.896935,Shared room,Studio,33,4,78,4.49,82,4.1,77,5,False,2025-09-05
9,Cardenas Parkways Stay,2290,Alisha,Manhattan,40.534261,-73.905604,Entire home/apt,Loft,277,2,500,9.13,64,3.3,70,40,True,2025-12-29
10,Wilson Fork Stay,7118,Brianna,Williamsburg,40.67524,-73.89297,Hotel room,House,182,2,126,2.7,173,3.0,80,19,True,2026-05-10
11,Joseph Village Stay,9423,Angela,Brooklyn,40.595202,-73.832409,Entire home/apt,House,154,4,276,1.59,292,4.2,41,35,False,2026-02-05
12,Sanchez Burgs Stay,8651,Julie,Brooklyn,40.845535,-74.078332,Entire home/apt,Villa,340,11,330,1.18,206,4.5,23,20,True,2026-02-05
13,Frost Street Stay,5092,Katherine,Williamsburg,40.849794,-74.069846,Hotel room,House,198,13,441,10.27,50,3.1,79,5,True,2026-01-12
14,Bell Lodge Stay,3697,Sean,Queens,40.651589,-73.705876,Hotel room,Condo,95,5,474,9.41,232,3.6,72,14,True,2025-12-13
15,John Walks Stay,6138,Justin,Bronx,40.522866,-73.866329,Entire home/apt,Studio,496,9,470,10.23,80,3.1,75,10,True,2026-04-08
16,Evan Heights Stay,5033,Mary,Upper East Side,40.731568,-74.084103,Entire home/apt,Villa,240,2,214,7.89,289,4.0,43,18,False,2026-01-11
17,Dawson Glens Stay,2188,Warren,Staten Island,40.503726,-73.851536,Hotel room,House,160,10,51,0.88,109,4.0,26,27,True,2026-01-08
18,Ashley Ports Stay,9666,Marcia,SoHo,40.503129,-73.773158,Shared room,House,58,5,477,7.96,68,3.5,23,40,True,2025-12-25
19,Lee Camp Stay,9004,Stephen,Staten Island,40.600449,-73.736736,Private room,Villa,92,1,47,7.61,141,3.1,52,13,False,2026-02-20
20,Ruiz Mountains Stay,3442,Robin,Chelsea,40.718236,-73.766162,Hotel room,Studio,256,10,282,1.78,65,3.1,56,7,False,2026-01-26
21,Marquez Corners Stay,3662,Debra,Bronx,40.890482,-73.775691,Entire home/apt,Loft,406,7,12,2.15,170,4.6,62,20,False,2026-02-21
22,Adam Ville Stay,8541,Jamie,Brooklyn,40.639863,-73.771785,Hotel room,Apartment,289,14,116,2.68,337,3.4,52,22,True,2025-12-22
23,Austin Glens Stay,5279,Mark,SoHo,40.571427,-73.714986,Hotel room,Villa,109,5,19,1.3,222,3.7,50,32,True,2025-10-28
24,Matthew Tunnel Stay,9821,Lori,Upper East Side,40.774743,-73.723895,Private room,Loft,151,12,343,2.36,220,3.1,52,25,True,2025-12-11
25,Galvan Roads Stay,5844,Sarah,Williamsburg,40.721765,-74.023264,Shared room,Villa,71,11,481,4.55,89,4.2,48,30,True,2025-12-09
26,Marcia Ways Stay,8244,Kevin,Staten Island,40.770251,-73.89553,Private room,Condo,122,13,461,11.52,86,4.3,46,37,False,2026-03-27
27,Christina Centers Stay,5011,Sara,Bronx,40.893574,-73.85549,Shared room,House,23,13,37,5.46,322,4.2,59,36,False,2026-01-09
28,Cole Passage Stay,9486,Louis,Queens,40.68582,-73.877038,Entire home/apt,Apartment,337,14,62,5.48,237,4.3,50,33,False,2025-08-06
29,Joshua Haven Stay,5050,Justin,Chelsea,40.835945,-73.989075,Private room,Villa,155,13,266,5.82,122,3.5,19,23,True,2025-12-25
30,Sullivan Ridge Stay,7275,James,SoHo,40.77758,-73.817432,Shared room,Studio,39,2,212,4.89,277,3.9,17,18,False,2025-10-26
31,Blankenship Spurs Stay,5892,Alex,Upper East Side,40.80139,-73.758621,Entire home/apt,Studio,314,14,214,6.46,279,4.6,38,36,True,2025-12-25
32,Gomez Trail Stay,3704,Katherine,Harlem,40.836202,-73.732183,Hotel room,Apartment,265,10,273,0.32,201,4.2,13,10,False,2026-03-05
33,Brent Point Stay,8449,Michael,Chelsea,40.630738,-73.795508,Private room,Apartment,137,7,142,9.02,215,3.5,20,35,True,2025-08-10
34,Mcgee Crescent Stay,1508,Roger,Manhattan,40.879845,-74.020256,Shared room,House,25,1,318,1.83,64,3.9,24,18,False,2025-05-20
35,Thompson Gardens Stay,2771,Monica,Staten Island,40.731474,-73.728445,Shared room,House,40,10,346,10.9,192,3.8,35,9,True,2026-03-22
36,Sanders Summit Stay,7071,John,Staten Island,40.527583,-73.840983,Entire home/apt,Studio,141,1,434,5.04,250,3.2,56,34,True,2025-10-03
37,Victoria Walks Stay,5397,Stephen,Queens,40.628922,-74.001802,Shared room,Studio,79,2,142,10.58,124,4.5,58,26,True,2025-09-02
38,Melton Overpass Stay,5581,Cynthia,SoHo,40.852128,-73.819526,Private room,Condo,130,5,284,0.12,97,3.2,62,36,True,2025-05-25
39,Jessica Grove Stay,7625,Jillian,Chelsea,40.776715,-73.977518,Hotel room,Condo,136,10,188,5.68,271,3.7,80,26,False,2025-05-19
